MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250122, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250122, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250122, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250122, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250122, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250122, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250120, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250120, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250120, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250120, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250120, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250120, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250120, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250120, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250121, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250121, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250121, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250121, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250121, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250121, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 2000.0, DATSAISIE: 20250210, DATFACT: 20250115, PERIODE: 0005
MONTTC: 2000.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250123, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250123, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250123, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250123, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250123, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250123, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250123, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250123, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250126, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250126, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250126, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250126, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250126, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250209, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250209, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250209, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250209, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250209, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250209, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
